comments,date,host_id,host_name,Id,listing_id,listing_name,Number of Records,reviewer_name,review_id
very nice place- well located. Only disadvantages: a little bit dark view of adjacent condo wall.,1/1/2013,360967,Lisa,3208959,120230,Darling Condo Near Zilker Park,1,Susan,54000000
"""I rented Anne's house for a long weekend family gathering post Christmas / pre New Years.",1/1/2013,,,3208061,727748,,1,Jennifer,54000001
This house is an absolutely fabulous location! Polvos and Bouldin Creek are two of my fav Austin eateries and both are just down the street! The interior is cute; with a funky Austin vibe. All the amenities you could ask for! I would definitely recommend this place!,1/1/2013,880571,Angel,3210559,781716,Atomic Ranch in Nucleus of S Austin,1,Traci,54000002
"""Great little romantic cottage in the Zilker neighborhood.  My husband is a chef we run an event business in CA and came to Austin to """"eat"""" our way a ruined town.  This cottage was casual and elegant with full kitchen very cozy bed and everything we needed to make our stay enjoyable.  It is obvious that Sovay is a detail oriented host!  Everything was great and the location was excellent for accessing all the eateries we wanted to explore including:  Barley Swine Lenoir Olivia Uchiko Congress Cafe 24 Diner and many of the food trucks and trailers that Austin is famous for.  Would recommend this cottage to anyone!  Will come back in the summer to enjoy all the water oriented fun on the river.  Thanks Sovay and  your assistant Megan!""",1/1/2013,347068,Sovay,3212931,69352,Enchanting Zilker Cottage~Downtown,1,Dana,54000003
Susan's home is in a great location and the inside is beautiful.  I highly recommend it.,1/1/2013,377618,Susan,3205671,72706,Walkable Charming & Central Home,1,Kevin,54000004
Cynthia and Jim were fantastic hosts!  Comfortable home great dogs and coffee and bagels when we woke.  Cheers!,1/1/2013,1652515,Cynthia,3213313,406911,COZY SOCO APT+MASSAGE+SCREENPORCH,1,Bobby,54000005
great host great location.,1/1/2013,119441,Angele,3214137,27632,Clarksville Condo - Minutes to DT!,1,Ken,54000006
"""Girlfriend and I travelled to Austin for New Years.  We needed a place close to 6th street ($10 cab ride) but also wanted a place that was uniquely """"Austin"""".  Lois's place nails it!  I could have spent weeks here.  So relaxing and perfect for people that want to truly experience Austin and all the amazing things that come with with this one of a kind city.  Highly recommended! """,1/2/2013,272156,Lois,3225520,57187,Zilker Park Fun Funky Peaceful,1,Will,54000007
"""Steven is a great host he was incredibly helpful and informative. Told us about many places to go in Austin and even brought us downtown when our taxi didn't show up on New Years Eve...!!",1/2/2013,,,3236675,400517,,1,Tamar,54000008
Efficient communicative clean and very friendly. This was my first experience with airbnb and I absolutely loved it.  Would have zero hesitations recommending Dan's place for anyone in Austin looking for a place to sleep economically.,1/2/2013,424835,Dan,3236081,78974,78704 Detached Garden  Cottage,1,Isaac,54000009
Daniel responded quickly to my last-minute request and his guesthouse was great! It's conveniently located near Barton Springs and Zilker Park and just a short drive to downtown. Comfortable and clean I'll definitely be recommending it to friends for their visits to Austin!,1/2/2013,213651,Daniel,3234331,104099,Zilker Guesthouse,1,Scott,54000010
My family and I had a great stay at Atomic Ranch! The house has a very cool vibe and is in a great location. It was the perfect base of operations during New Years Eve. Angel was a very helpful host and I highly recommend staying at one of her locations.,1/2/2013,880571,Angel,3233772,781716,Atomic Ranch in Nucleus of S Austin,1,Jacob,54000011
"""Andrew and Crystal's place was an amazing lovely home away from home.  It was cozy and convenient to the Austin night life. It feels like the two of them thought of all the details a guest would need on vacation.  Crystal communicated with me frequently to make sure everything was ok and to give suggestions.  We felt very well taken care of!",1/2/2013,,,3229422,628034,,1,Seema,54000012
