from,to,routes
AAN,CCJ,1
AAN,PEW,1
AAY,SAH,1
ABD,MHD,2
ABD,SYZ,1
ABD,THR,3
ABT,DMM,1
ABT,JED,1
ABT,RUH,1
ACX,CAN,1
ACX,CKG,1
ACX,KWE,1
ACX,NAY,2
ACX,PVG,1
ACZ,MHD,1
ADA,ADB,2
ADA,AYT,2
ADA,EBL,2
ADA,ESB,1
ADA,IST,3
ADA,JED,1
ADA,SAW,2
ADA,TZX,1
ADA,VAN,1
ADB,ADA,2
ADB,ASR,2
ADB,AYT,2
ADB,DIY,2
ADB,ESB,2
ADB,EZS,1
ADB,GNY,1
ADB,GZT,2
ADB,HTY,1
ADB,IST,4
ADB,MQM,1
ADB,SAW,3
ADB,TZX,2
ADB,VAS,1
ADE,AHB,1
ADE,AMM,2
ADE,AUH,1
ADE,BOM,1
ADE,DMM,2
ADE,DXB,2
ADE,GXF,1
ADE,JED,2
ADE,RIY,1
ADE,SAH,2
ADE,SHJ,1
ADF,ESB,1
ADF,IST,1
ADU,MHD,1
ADU,THR,2
AFZ,THR,1
AGR,BOM,1
AGX,COK,1
AHB,ADE,1
AHB,DMM,1
AHB,DXB,1
AHB,JED,2
AHB,MED,1
AHB,RUH,2
AHB,SHJ,1
AHB,TIF,1
AHB,TUU,1
AJF,JED,1
AJF,RUH,1
AJI,ESB,1
AJI,IST,1
AJL,CCU,3
AJL,GAU,2
AJL,IMF,1
AKJ,HND,3
AKJ,NGO,1
AKJ,TPE,3
AKU,CTU,2
AKU,URC,4
AKX,ALA,2
AKX,SCO,1
AKX,TSE,2
AKY,RGN,2
AKY,SNW,1
ALA,AKX,2
ALA,AUH,2
ALA,BKK,1
ALA,CIT,2
ALA,DEL,1
ALA,DMB,1
ALA,DYU,3
ALA,DZN,1
ALA,FRU,2
ALA,GUW,2
ALA,GYD,1
ALA,HKG,1
ALA,ICN,2
ALA,IKA,1
ALA,IST,2
ALA,KGF,2
ALA,KOV,1
ALA,KSN,1
ALA,KUL,1
ALA,KZO,1
ALA,PEK,2
ALA,PLX,1
ALA,PPK,1
ALA,PWQ,1
ALA,SAW,1
ALA,SCO,2
ALA,SGN,1
ALA,SHJ,1
ALA,TAS,2
ALA,TBS,1
ALA,TSE,5
ALA,UKK,2
ALA,URC,2
AMD,AUH,2
AMD,BLR,1
AMD,BOM,6
AMD,CCU,2
AMD,DEL,6
AMD,DWC,1
AMD,DXB,2
AMD,GOI,1
AMD,JAI,1
AMD,KUL,1
AMD,KWI,1
AMD,MAA,2
AMD,MCT,1
AMD,PNQ,2
AMD,SHJ,1
AMD,SIN,1
AMM,ADE,2
AMM,AQJ,1
AMM,AUH,3
AMM,BAH,2
AMM,BEY,3
AMM,BGW,1
AMM,BKK,2
AMM,BOM,1
AMM,BSR,1
AMM,DEL,1
AMM,DMM,1
AMM,DWC,1
AMM,DXB,4
AMM,EBL,3
AMM,HOD,1
AMM,IST,2
AMM,ISU,1
AMM,JED,4
AMM,KWI,3
AMM,MCT,2
AMM,MED,3
AMM,RUH,3
AMM,SAH,2
AMM,SHJ,1
AMM,TLV,2
AMQ,CGK,3
AMQ,LUV,1
AMQ,MKW,1
AMQ,NBX,1
AMQ,SOQ,1
AMQ,SUB,2
AMQ,UPG,3
AOG,PEK,1
AOG,PVG,2
AOJ,CTS,1
AOJ,HND,1
AOJ,ICN,1
AOJ,ITM,1
AOJ,NKM,1
AOR,KUL,2
AOR,SZB,3
AQG,CAN,1
AQG,CKG,1
AQG,HAK,1
AQG,PEK,1
AQG,SHA,1
AQG,WUH,1
AQG,XMN,1
AQI,JED,1
AQI,RUH,1
AQJ,AMM,1
AQJ,IST,1
ASB,ATQ,1
ASB,DEL,1
ASB,DXB,2
ASB,GYD,2
ASB,IST,2
ASB,URC,1
ASJ,HND,1
ASJ,ITM,1
ASR,ADB,2
ASR,IST,1
ASR,SAW,2
ATQ,ASB,1
ATQ,BOM,1
ATQ,DEL,4
ATQ,SXR,1
ATQ,TAS,1
AUH,ADE,1
AUH,ALA,2
AUH,AMD,2
AUH,AMM,3
AUH,BAH,8
AUH,BEY,2
AUH,BGW,1
AUH,BKK,3
AUH,BLR,3
AUH,BOM,4
AUH,BSR,1
AUH,CCJ,3
AUH,CGK,3
AUH,CMB,5
AUH,COK,4
AUH,CTU,3
AUH,DAC,1
AUH,DEL,4
AUH,DMM,3
AUH,EBL,1
AUH,GXF,1
AUH,HKG,2
AUH,HKT,2
AUH,ICN,3
AUH,IKA,1
AUH,ISB,6
AUH,IST,2
AUH,JAI,1
AUH,JED,3
AUH,KHI,3
AUH,KIH,1
AUH,KTM,1
AUH,KUL,4
AUH,KWI,5
AUH,LHE,7
AUH,MAA,2
AUH,MCT,12
AUH,MED,3
AUH,MLE,2
AUH,MNL,2
AUH,NRT,2
AUH,PEK,5
AUH,PEW,4
AUH,PVG,2
AUH,RIY,1
AUH,RUH,3
AUH,RYK,1
AUH,SAH,1
AUH,SGN,2
AUH,SIN,6
AUH,TRV,3
AUH,TSE,2
AVA,CAN,1
AVA,CKG,1
AVA,NAY,2
AWZ,BND,1
AWZ,DXB,1
AWZ,IFN,2
AWZ,KIH,2
AWZ,KWI,2
AWZ,MHD,3
AWZ,PGU,1
AWZ,RAS,1
AWZ,SRY,2
AWZ,SYZ,3
AWZ,TBZ,1
AWZ,THR,4
AXK,SAH,1
AXT,CTS,2
AXT,HND,2
AXT,ICN,1
AXT,ITM,2
AXT,NGO,1
AYT,ADA,2
AYT,ADB,2
AYT,BGW,1
AYT,EBL,1
AYT,ESB,1
AYT,IST,3
AYT,SAW,3
AYT,TZX,1
AZD,BND,1
AZD,MHD,3
AZD,THR,2
AZI,DXB,1
AZI,FJR,1
AZI,XSB,1
AZN,TAS,1
BAH,AMM,2
BAH,AUH,8
BAH,BEY,1
BAH,BGW,1
BAH,BKK,3
BAH,BOM,2
BAH,CMB,2
BAH,COK,1
BAH,DEL,1
BAH,DMM,2
BAH,DWC,2
BAH,DXB,5
BAH,IKA,1
BAH,ISB,1
BAH,IST,2
BAH,JED,2
BAH,KHI,1
BAH,KWI,4
BAH,LHE,2
BAH,MAA,1
BAH,MCT,3
BAH,MED,2
BAH,MHD,2
BAH,MNL,2
BAH,NJF,1
BAH,PEW,1
BAH,RUH,2
BAH,SAH,2
BAH,SHJ,1
BAH,SKT,1
BAH,TRV,1
BAL,ESB,1
BAL,IST,1
BAL,SAW,1
BAV,CAN,2
BAV,CGO,2
BAV,CIF,1
BAV,CSX,1
BAV,CTU,1
BAV,NAY,2
BAV,NKG,1
BAV,PEK,3
BAV,PVG,1
BAV,SHA,2
BAV,SHE,1
BAV,SJW,3
BAV,TSN,3
BAV,TYN,2
BAV,URC,1
BAV,WUH,1
BAV,XIY,2
BBI,BLR,1
BBI,BOM,2
BBI,CCU,1
BBI,DEL,2
BBI,VTZ,1
BBN,MUR,1
BBN,MYY,1
BCD,CEB,1
BCD,CGY,1
BCD,DVO,1
BCD,MNL,3
BDH,DXB,1
BDH,SYZ,1
BDJ,BDO,1
BDJ,BPN,2
BDJ,CGK,4
BDJ,JOG,1
BDJ,SRG,1
BDJ,SUB,3
BDO,BDJ,1
BDO,BTH,1
BDO,DPS,4
BDO,JHB,1
BDO,JOG,1
BDO,KUL,3
BDO,PKU,2
BDO,SIN,5
BDO,SUB,3
BDP,KTM,1
BDQ,BOM,3
BDQ,DEL,2
BEJ,BPN,3
BEY,AMM,3
BEY,AUH,2
BEY,BAH,1
BEY,BGW,1
BEY,BSR,1
BEY,DMM,1
BEY,DWC,1
BEY,DXB,2
BEY,EBL,2
BEY,EVN,1
BEY,IKA,1
BEY,IST,2
BEY,JED,2
BEY,KWI,3
BEY,MCT,1
BEY,MHD,1
BEY,NJF,1
BEY,RUH,2
BEY,SAH,1
BEY,SAW,1
BEY,SHJ,1
BFJ,CAN,1
BFJ,CKG,1
BFJ,KMG,1
BFJ,KWE,1
BFJ,NAY,2
BFJ,SHA,1
BFJ,SZX,1
BFV,DMK,1
BGW,AMM,1
BGW,AUH,1
BGW,AYT,1
BGW,BAH,1
BGW,BEY,1
BGW,DXB,2
BGW,ESB,1
BGW,IST,1
BGW,SHJ,1
BHH,DMM,1
BHH,JED,1
BHH,RUH,1
BHJ,BOM,2
BHK,TAS,1
BHO,BOM,3
BHO,DEL,3
BHR,KTM,1
BHU,BOM,2
BHV,ISB,1
BHV,KHI,2
BHV,LHE,2
BHY,CAN,1
BHY,CGO,1
BHY,CKG,2
BHY,CSX,1
BHY,CTU,1
BHY,HAK,1
BHY,HGH,2
BHY,KMG,2
BHY,KWL,1
BHY,LYA,1
BHY,PEK,2
BHY,PVG,2
BHY,SJW,1
BHY,SZX,1
BHY,XIY,1
BIK,DJJ,2
BIK,UPG,2
BIR,KTM,1
BJB,THR,1
BJV,ESB,2
BJV,IST,3
BJV,SAW,2
BKI,BTU,1
BKI,BWN,2
BKI,CAN,1
BKI,CGK,1
BKI,DPS,1
BKI,HGH,1
BKI,HKG,5
BKI,ICN,4
BKI,JHB,1
BKI,KBR,1
BKI,KCH,2
BKI,KUD,1
BKI,KUL,3
BKI,LBU,1
BKI,LDU,1
BKI,LWY,1
BKI,MNL,2
BKI,MYY,2
BKI,MZV,1
BKI,NRT,2
BKI,PEN,1
BKI,PPS,1
BKI,PVG,2
BKI,SBW,1
BKI,SDK,2
BKI,SIN,4
BKI,SZX,2
BKI,TPE,2
BKI,TWU,2
BKK,ALA,1
BKK,AMM,2
BKK,AUH,3
BKK,BAH,3
BKK,BLR,1
BKK,BOM,5
BKK,BWN,2
BKK,CAN,6
BKK,CCU,2
BKK,CEI,8
BKK,CGK,3
BKK,CGO,1
BKK,CGP,1
BKK,CKG,2
BKK,CMB,4
BKK,CNX,10
BKK,CRK,1
BKK,CSX,1
BKK,CTS,1
BKK,CTU,2
BKK,DAC,6
BKK,DEL,4
BKK,DPS,1
BKK,DXB,3
BKK,FOC,2
BKK,FUK,2
BKK,GAU,1
BKK,HAN,4
BKK,HDY,1
BKK,HKG,12
BKK,HKT,10
BKK,HND,4
BKK,ICN,10
BKK,IKA,1
BKK,ISB,1
BKK,IST,2
BKK,IXB,1
BKK,KBV,8
BKK,KHH,1
BKK,KHI,2
BKK,KIX,4
BKK,KKC,1
BKK,KMG,2
BKK,KTM,2
BKK,KUL,9
BKK,KWI,1
BKK,LHE,1
BKK,LPQ,4
BKK,LPT,1
BKK,MAA,2
BKK,MCT,1
BKK,MDL,3
BKK,MFM,2
BKK,MLE,1
BKK,MNL,4
BKK,NGB,1
BKK,NGO,2
BKK,NNG,2
BKK,NRT,8
BKK,NYT,1
BKK,PEK,3
BKK,PEN,2
BKK,PNH,4
BKK,PUS,4
BKK,PVG,5
BKK,REP,2
BKK,RGN,4
BKK,SGN,4
BKK,SIN,10
BKK,SWA,1
BKK,SZX,2
BKK,TAO,1
BKK,TAS,1
BKK,TDX,1
BKK,THS,1
BKK,TLV,2
BKK,TNA,1
BKK,TPE,6
BKK,UBP,1
BKK,ULN,1
BKK,URT,1
