from,to,routes
AAL,AAR,1
AAL,AGP,1
AAL,ALC,1
AAL,AMS,2
AAL,ARN,1
AAL,BCN,2
AAL,BLL,3
AAL,CPH,2
AAL,LGW,1
AAL,OSL,3
AAL,PMI,1
AAL,SVG,1
AAQ,DME,1
AAQ,LED,1
AAQ,SVO,1
AAR,AAL,1
AAR,AGP,1
AAR,BMA,1
AAR,CPH,1
AAR,GOT,1
AAR,OSL,1
AAR,PMI,1
AAR,STN,1
ABA,DME,1
ABA,NSK,1
ABA,SVO,1
ABZ,AMS,1
ABZ,BGO,2
ABZ,BHD,1
ABZ,BHX,1
ABZ,BRS,1
ABZ,CDG,3
ABZ,CPH,1
ABZ,DUB,1
ABZ,EBJ,1
ABZ,EMA,1
ABZ,FRA,1
ABZ,HUY,1
ABZ,KOI,1
ABZ,KSU,1
ABZ,LBA,1
ABZ,LCY,1
ABZ,LGW,1
ABZ,LHR,5
ABZ,LSI,1
ABZ,LTN,1
ABZ,MAN,2
ABZ,MME,1
ABZ,NCL,1
ABZ,NWI,2
ABZ,OSL,2
ABZ,RIX,1
ABZ,SVG,3
ABZ,SYY,1
ABZ,WIC,1
ACE,AMS,1
ACE,BCN,3
ACE,BFS,2
ACE,BGY,1
ACE,BHX,6
ACE,BIO,3
ACE,BLK,1
ACE,BLQ,1
ACE,BOH,1
ACE,BRE,1
ACE,BRS,2
ACE,BVA,1
ACE,CGN,1
ACE,CRL,1
ACE,DUB,2
ACE,DUS,2
ACE,EDI,1
ACE,EIN,1
ACE,EMA,6
ACE,FKB,1
ACE,FRA,2
ACE,FUE,4
ACE,GLA,5
ACE,HAJ,2
ACE,HAM,2
ACE,HHN,1
ACE,LBA,3
ACE,LEJ,2
ACE,LGW,9
ACE,LPA,2
ACE,LPL,2
ACE,LTN,3
ACE,LUX,1
ACE,MAD,3
ACE,MAN,7
ACE,MUC,2
ACE,NCL,4
ACE,NOC,1
ACE,NRN,1
ACE,ORK,2
ACE,OVD,1
ACE,PAD,1
ACE,PIK,1
ACE,SCQ,2
ACE,SDR,1
ACE,SNN,1
ACE,STN,3
ACE,STR,2
ACE,SVQ,1
ACE,SXF,1
ACE,TFN,1
ACE,TXL,1
ACE,ZAZ,1
ACE,ZRH,2
ACH,EBA,1
ACH,VIE,1
ACI,GCI,1
ACI,SOU,1
AER,DME,4
AER,KIV,1
AER,KJA,1
AER,KRR,2
AER,KZN,1
AER,LED,1
AER,MSQ,1
AER,OMS,1
AER,SVO,1
AER,SVX,2
AER,VKO,1
AES,ALC,1
AES,AMS,2
AES,BGO,2
AES,CPH,1
AES,GDN,1
AES,LGW,1
AES,OSL,2
AES,RIX,1
AES,TRD,1
AES,VNO,1
AEY,RKV,1
AGB,MRS,1
AGF,DCM,1
AGF,ORY,1
AGH,ARN,1
AGH,BMA,2
AGP,AAL,1
AGP,AAR,1
AGP,AMS,3
AGP,ARN,2
AGP,BCN,3
AGP,BFS,2
AGP,BGO,1
AGP,BGY,1
AGP,BHD,1
AGP,BHX,2
AGP,BIO,2
AGP,BLK,1
AGP,BLL,1
AGP,BLQ,1
AGP,BOD,1
AGP,BOH,1
AGP,BRE,1
AGP,BRS,2
AGP,BRU,4
AGP,BSL,1
AGP,BTS,1
AGP,BUD,1
AGP,BVA,1
AGP,CDG,3
AGP,CGN,3
AGP,CIA,1
AGP,CPH,4
AGP,CRL,1
AGP,CWL,3
AGP,DME,2
AGP,DTM,1
AGP,DUB,2
AGP,DUS,2
AGP,EDI,2
AGP,EIN,2
AGP,EMA,3
AGP,EXT,1
AGP,FCO,3
AGP,FKB,1
AGP,FMM,1
AGP,FMO,1
AGP,FRA,1
AGP,GLA,3
AGP,GOT,2
AGP,GSE,1
AGP,GVA,2
AGP,HAJ,2
AGP,HAM,4
AGP,HAU,1
AGP,HEL,2
AGP,HHN,1
AGP,IBZ,2
AGP,KRK,1
AGP,LBA,2
AGP,LCY,2
AGP,LGW,6
AGP,LHR,2
AGP,LIS,2
AGP,LPA,2
AGP,LPL,2
AGP,LTN,3
AGP,LUX,1
AGP,LYS,2
AGP,MAD,2
AGP,MAN,5
AGP,MLN,2
AGP,MMX,1
AGP,MRS,1
AGP,MUC,5
AGP,MXP,1
AGP,NCL,3
AGP,NOC,1
AGP,NRN,1
AGP,NTE,2
AGP,NUE,1
AGP,NYO,1
AGP,ORK,2
AGP,ORY,3
AGP,OSL,2
AGP,OVD,2
AGP,PIK,1
AGP,PMI,5
AGP,PRG,1
AGP,RTM,1
AGP,RYG,2
AGP,SCQ,3
AGP,SDR,1
AGP,SEN,1
AGP,SNN,2
AGP,SOF,1
AGP,SOU,1
AGP,STN,2
AGP,STR,2
AGP,SVG,1
AGP,SVO,2
AGP,SXF,1
AGP,TFN,3
AGP,TLS,2
AGP,TMP,1
AGP,TRD,1
AGP,TRF,2
AGP,TSF,1
AGP,TXL,2
AGP,VIE,2
AGP,VKO,1
AGP,VLC,1
AGP,VST,1
AGP,WAW,1
AGP,WRO,1
AGP,ZRH,1
AHO,AOI,1
AHO,BGY,1
AHO,BLL,1
AHO,BLQ,1
AHO,BTS,1
AHO,BVA,1
AHO,CIA,1
AHO,CRL,1
AHO,CUF,1
AHO,DTM,1
AHO,DUB,1
AHO,EIN,1
AHO,FCO,1
AHO,FMM,1
AHO,GRO,1
AHO,GSE,1
AHO,HHN,1
AHO,LIN,1
AHO,LTN,1
AHO,MAD,1
AHO,MXP,1
AHO,NRN,1
AHO,NYO,1
AHO,OTP,1
AHO,PMF,1
AHO,PSA,1
AHO,STN,1
AHO,TRF,1
AHO,TRN,1
AHO,TRS,1
AHO,TSF,1
AJA,ARN,1
AJA,AVN,1
AJA,BES,1
AJA,BOD,1
AJA,BSL,1
AJA,BVE,1
AJA,CDG,1
AJA,CFR,1
AJA,DCM,1
AJA,GVA,1
AJA,LGG,2
AJA,LGW,1
AJA,LIL,1
AJA,LUX,1
AJA,LYS,4
AJA,MPL,1
AJA,MRS,3
AJA,NCE,3
AJA,NTE,3
AJA,ORY,2
AJA,OSL,1
AJA,PIS,1
AJA,SXB,1
AJA,TLS,3
AJR,LYC,2
ALC,AAL,1
ALC,AES,1
ALC,AMS,3
ALC,ARN,2
ALC,BCN,2
ALC,BFS,2
ALC,BGO,2
ALC,BGY,1
ALC,BHX,4
ALC,BIO,2
ALC,BLK,1
ALC,BLL,2
ALC,BLQ,1
ALC,BOH,1
ALC,BRE,1
ALC,BRS,3
ALC,BRU,4
ALC,BSL,1
ALC,BVA,1
ALC,CGN,1
ALC,CPH,3
ALC,CRL,1
ALC,CWL,3
ALC,DME,4
ALC,DUB,2
ALC,DUS,1
ALC,EDI,3
ALC,EIN,2
ALC,EMA,4
ALC,EVE,1
ALC,EXT,1
ALC,FCO,2
ALC,FKB,1
ALC,FMM,1
ALC,FRA,1
ALC,GLA,3
ALC,GOT,1
ALC,GSE,1
ALC,GVA,1
ALC,HAM,2
ALC,HAU,1
ALC,HEL,1
ALC,HHN,1
ALC,IBZ,2
ALC,KEF,2
ALC,KIR,1
ALC,KRK,1
ALC,KRS,1
ALC,KSD,1
ALC,KTW,1
ALC,KUN,1
ALC,LBA,2
ALC,LGW,6
ALC,LPA,1
ALC,LPL,2
ALC,LTN,2
ALC,MAD,1
ALC,MAN,5
ALC,MOL,1
ALC,MST,1
ALC,MUC,2
ALC,NCL,3
ALC,NOC,1
ALC,NRN,1
ALC,NUE,1
ALC,NYO,1
ALC,ORK,1
ALC,ORY,2
ALC,OSL,2
ALC,OUL,1
ALC,PIK,1
ALC,PMI,3
ALC,RTM,1
ALC,RYG,2
ALC,SCQ,1
ALC,SEN,1
ALC,SNN,1
ALC,SOU,1
ALC,STN,1
ALC,STR,1
ALC,SVG,2
ALC,TFS,1
ALC,TKU,1
ALC,TMP,1
ALC,TOS,1
ALC,TRD,2
ALC,TRF,2
ALC,TXL,1
ALC,UME,1
ALC,VST,1
ALC,VXO,1
ALC,WMI,1
ALC,WRO,1
ALC,ZRH,1
ALF,HFT,1
ALF,KKN,1
ALF,OSL,2
ALF,TOS,3
ALF,VDS,1
AMS,AAL,2
AMS,ABZ,1
AMS,ACE,1
AMS,AES,2
AMS,AGP,3
AMS,ALC,3
AMS,ARN,4
AMS,ATH,2
AMS,BCN,5
AMS,BEG,2
AMS,BFS,1
AMS,BGO,2
AMS,BHX,2
AMS,BIO,2
AMS,BLL,2
AMS,BLQ,3
AMS,BOD,3
AMS,BRE,2
AMS,BRI,1
AMS,BRN,1
AMS,BRS,3
AMS,BRU,1
AMS,BSL,3
AMS,BUD,1
AMS,CDG,3
AMS,CFE,3
AMS,CFU,1
AMS,CGN,2
AMS,CHQ,1
AMS,CPH,6
AMS,CTA,3
AMS,CWL,2
AMS,DBV,1
AMS,DUB,1
AMS,DUS,2
AMS,EDI,2
AMS,EMA,1
AMS,EXT,1
AMS,FAO,1
AMS,FCO,4
AMS,FLR,2
AMS,FNC,1
AMS,FRA,4
AMS,FUE,1
AMS,GCI,1
AMS,GDN,1
AMS,GLA,3
AMS,GOT,1
AMS,GRO,1
AMS,GVA,2
AMS,HAJ,2
AMS,HAM,3
AMS,HEL,4
AMS,HER,1
AMS,HUY,2
AMS,IBZ,3
AMS,INN,1
AMS,INV,1
AMS,JER,1
AMS,JTR,1
AMS,KBP,2
AMS,KEF,1
AMS,KGS,1
AMS,KRK,1
AMS,KRS,2
AMS,LBA,3
AMS,LCA,2
AMS,LCY,4
AMS,LED,2
AMS,LEJ,1
AMS,LGW,2
AMS,LHR,5
AMS,LIN,3
AMS,LIS,8
AMS,LJU,1
AMS,LPA,1
AMS,LPI,1
AMS,LPL,1
AMS,LTN,1
AMS,LUX,1
AMS,LYS,2
AMS,MAD,3
AMS,MAN,3
AMS,MLA,2
AMS,MME,2
AMS,MRS,2
AMS,MSQ,1
AMS,MUC,2
AMS,MXP,1
AMS,NAP,1
AMS,NCE,3
AMS,NCL,2
AMS,NTE,2
AMS,NUE,1
AMS,NWI,2
AMS,OPO,4
AMS,ORK,1
AMS,OSL,3
AMS,OTP,2
AMS,PDL,1
AMS,PFO,1
AMS,PMI,3
AMS,PMO,3
AMS,PRG,4
AMS,PSA,1
AMS,PVK,1
AMS,RHO,1
AMS,RIX,2
AMS,SEN,1
AMS,SKG,1
AMS,SOF,1
AMS,SOU,1
AMS,SPC,1
AMS,STN,1
AMS,STR,1
AMS,SVG,2
AMS,SVO,2
AMS,SVQ,3
AMS,SXB,3
AMS,SXF,1
AMS,TFS,1
AMS,TLL,2
AMS,TLS,2
AMS,TRD,2
AMS,TRF,2
AMS,TRN,1
AMS,TXL,2
AMS,VCE,3
AMS,VIE,2
AMS,VLC,3
AMS,VRN,1
AMS,VXO,1
AMS,WAW,2
AMS,ZAG,1
AMS,ZRH,3
AMS,ZTH,1
ANG,FSC,1
ANR,LCY,2
ANX,BOO,1
ANX,EVE,1
ANX,TOS,1
AOI,AHO,1
AOI,CRL,1
AOI,CTA,1
AOI,DUS,1
AOI,FCO,1
AOI,MUC,1
AOI,NRN,1
AOI,STN,1
AOI,TPS,1
AOI,TXL,1
AOK,ATH,2
AOK,KSJ,2
AOK,RHO,2
ARH,CSH,1
ARH,LED,2
ARH,MMK,1
ARH,NNM,2
ARH,SVO,2
ARH,USK,1
ARN,AAL,1
ARN,AGH,1
ARN,AGP,2
ARN,AJA,1
ARN,ALC,2
ARN,AMS,4
ARN,ATH,2
ARN,BCN,4
ARN,BEG,3
ARN,BGO,2
ARN,BHX,1
ARN,BLL,1
ARN,BLQ,1
ARN,BRU,1
ARN,BUD,1
ARN,CDG,3
ARN,CGN,1
ARN,CHQ,1
ARN,CPH,3
ARN,CTA,1
ARN,DBV,2
ARN,DUB,2
ARN,DUS,3
ARN,EDI,2
ARN,EVG,1
ARN,FAO,1
ARN,FCO,2
ARN,FRA,3
ARN,GEV,1
ARN,GOT,4
ARN,GVA,4
ARN,HAD,1
ARN,HAM,2
ARN,HEL,5
ARN,HFS,1
ARN,JKG,1
ARN,KEF,1
ARN,KID,1
ARN,KLR,1
ARN,KLX,2
ARN,KRF,2
ARN,KRK,1
ARN,KRN,2
ARN,KSD,1
ARN,LCA,1
ARN,LCY,1
ARN,LED,2
ARN,LGW,1
ARN,LHR,6
ARN,LIN,1
ARN,LIS,2
ARN,LLA,2
ARN,LPA,1
ARN,LUX,1
ARN,LYC,2
ARN,MAD,2
ARN,MAN,3
ARN,MHQ,1
ARN,MLA,1
ARN,MMX,2
ARN,MSQ,1
ARN,MUC,3
ARN,MXX,1
ARN,NCE,2
ARN,OER,1
ARN,OLB,1
ARN,ORY,1
ARN,OSD,1
ARN,OSL,3
ARN,OUL,1
ARN,PMI,2
ARN,PMO,1
ARN,POR,1
ARN,PRG,4
ARN,PSA,1
ARN,PUY,1
ARN,RIX,3
ARN,RNB,1
ARN,SDL,1
ARN,SFT,1
ARN,SJJ,1
ARN,SKG,2
ARN,SPU,2
ARN,SVG,1
ARN,SVO,2
ARN,SXF,1
ARN,TKU,2
ARN,TLL,2
ARN,TMP,3
ARN,TOS,1
ARN,TRD,1
ARN,TRF,1
ARN,TXL,5
ARN,UME,2
ARN,VAA,4
ARN,VBY,2
ARN,VCE,1
ARN,VHM,2
ARN,VIE,4
ARN,VNO,2
ARN,VXO,1
ARN,WAW,1
ARN,ZRH,2
ARW,BGY,1
ASF,DME,2
ASF,KZN,1
