from,to,routes
BRE,FMO,1
BRE,FRA,1
BRE,LEJ,1
BRE,MUC,1
BRE,STR,1
CGN,DRS,1
CGN,FDH,1
CGN,HAM,1
CGN,HDF,1
CGN,LEJ,1
CGN,MUC,3
CGN,RLG,1
CGN,TXL,5
DRS,CGN,1
DRS,DUS,2
DRS,FRA,1
DRS,MUC,1
DRS,STR,1
DTM,HDF,1
DTM,MUC,2
DUS,DRS,2
DUS,FDH,1
DUS,FRA,2
DUS,GWT,1
DUS,HAM,2
DUS,HDF,1
DUS,LEJ,1
DUS,MUC,2
DUS,NUE,2
DUS,STR,1
DUS,TXL,3
FDH,CGN,1
FDH,DUS,1
FDH,FRA,1
FDH,HAM,1
FDH,TXL,1
FKB,HAM,1
FKB,TXL,2
FMM,HAM,1
FMM,TXL,1
FMO,BRE,1
FMO,FRA,1
FMO,MUC,1
FMO,STR,1
FRA,BRE,1
FRA,DRS,1
FRA,DUS,2
FRA,FDH,1
FRA,FMO,1
FRA,GWT,1
FRA,HAJ,1
FRA,HAM,1
FRA,HDF,1
FRA,LEJ,1
FRA,MUC,2
FRA,NUE,1
FRA,STR,1
FRA,TXL,4
GWT,DUS,1
GWT,FRA,1
GWT,HAM,1
GWT,MUC,2
GWT,STR,1
GWT,TXL,1
HAJ,FRA,1
HAJ,MUC,1
HAJ,STR,2
HAM,CGN,1
HAM,DUS,2
HAM,FDH,1
HAM,FKB,1
HAM,FMM,1
HAM,FRA,2
HAM,GWT,1
HAM,MUC,2
HAM,NUE,2
HAM,SCN,2
HAM,STR,2
HDF,CGN,1
HDF,DTM,1
HDF,DUS,1
HDF,FRA,1
HDF,STR,1
LEJ,BRE,1
LEJ,CGN,1
LEJ,DUS,1
LEJ,FRA,1
LEJ,MUC,1
LEJ,STR,1
MHG,TXL,1
MUC,BRE,1
MUC,CGN,2
MUC,DRS,1
MUC,DTM,2
MUC,DUS,3
MUC,FMO,1
MUC,FRA,3
MUC,GWT,2
MUC,HAJ,1
MUC,HAM,2
MUC,LEJ,1
MUC,NUE,1
MUC,PAD,1
MUC,RLG,1
MUC,STR,1
MUC,TXL,3
NUE,DUS,2
NUE,FRA,1
NUE,HAM,2
NUE,MUC,1
NUE,TXL,3
PAD,MUC,1
RLG,CGN,1
RLG,MUC,1
RLG,STR,1
SCN,HAM,2
SCN,TXL,4
STR,BRE,1
STR,DRS,1
STR,DUS,1
STR,FMO,1
STR,FRA,1
STR,GWT,1
STR,HAJ,2
STR,HAM,2
STR,HDF,1
STR,LEJ,1
STR,MUC,2
STR,RLG,1
STR,TXL,3
TXL,CGN,3
TXL,DUS,3
TXL,FDH,1
TXL,FKB,2
TXL,FMM,1
TXL,FRA,4
TXL,GWT,1
TXL,MHG,1
TXL,MUC,3
TXL,NUE,3
TXL,SCN,4
TXL,STR,3
