from,to,routes
ABE,ATL,3
ABE,CLT,2
ABE,DTW,1
ABE,MYR,1
ABE,ORD,1
ABE,PGD,1
ABE,PHL,2
ABE,PIE,1
ABE,SFB,1
ABI,DFW,2
ABL,OTZ,2
ABQ,ATL,5
ABQ,BWI,1
ABQ,CNM,1
ABQ,DAL,1
ABQ,DEN,3
ABQ,DFW,2
ABQ,HOU,1
ABQ,IAH,1
ABQ,JFK,1
ABQ,LAM,1
ABQ,LAS,2
ABQ,LAX,5
ABQ,MCI,2
ABQ,MDW,2
ABQ,MSP,1
ABQ,OAK,1
ABQ,ORD,3
ABQ,PDX,2
ABQ,PHX,3
ABQ,SAN,1
ABQ,SEA,1
ABQ,SFO,1
ABQ,SLC,1
ABR,MSP,1
ABY,ATL,4
ACA,IAH,1
ACA,MEX,3
ACA,TIJ,1
ACA,TLC,2
ACK,BOS,1
ACK,EWB,1
ACK,HPN,1
ACK,HYA,1
ACK,MVY,1
ACK,TEB,1
ACT,DFW,2
ACV,CEC,1
ACV,SFO,1
ACV,SMF,1
ACY,BOS,1
ACY,DTW,1
ACY,FLL,1
ACY,IAH,1
ACY,MCO,1
ACY,MYR,1
ACY,ORD,2
ACY,RSW,1
ACY,TPA,1
ADK,ANC,1
ADQ,AKK,1
ADQ,ANC,2
AET,BTT,1
AET,FAI,1
AEX,ATL,3
AEX,DFW,2
AEX,IAH,1
AGS,ATL,3
AGS,CLT,2
AGS,DCA,2
AGU,CUN,1
AGU,DFW,2
AGU,IAH,1
AGU,LAX,1
AGU,MEX,2
AGU,MTY,1
AGU,TIJ,1
AHN,BNA,1
AIN,ATK,1
AIN,BRW,1
AKB,DUT,1
AKK,ADQ,1
AKN,ANC,2
AKN,DLG,1
AKP,BTT,1
AKP,FAI,1
ALB,ATL,5
ALB,BOS,1
ALB,BWI,2
ALB,CLE,1
ALB,CLT,2
ALB,DCA,2
ALB,DTW,1
ALB,EWR,2
ALB,FLL,2
ALB,IAD,1
ALB,LAS,1
ALB,MCO,1
ALB,MDW,2
ALB,MSP,1
ALB,MSS,1
ALB,OGS,1
ALB,ORD,1
ALB,PHL,2
ALB,TPA,2
ALO,ORD,2
ALS,DEN,3
ALS,FMN,3
ALW,SEA,1
AMA,DAL,2
AMA,DEN,3
AMA,DFW,2
AMA,IAH,1
AMA,LAS,1
ANC,ADK,1
ANC,ADQ,2
ANC,AKN,2
ANC,ANI,3
ANC,BET,2
ANC,BRW,1
ANC,CDB,2
ANC,CDV,2
ANC,DEN,1
ANC,DLG,2
ANC,ENA,3
ANC,FAI,2
ANC,HNL,1
ANC,HOM,2
ANC,ILI,1
ANC,JNU,1
ANC,KSM,2
ANC,LAS,1
ANC,LAX,2
ANC,MCG,2
ANC,MSP,1
ANC,OME,1
ANC,ORD,2
ANC,OTZ,1
ANC,PDX,1
ANC,PHX,2
ANC,SCC,1
ANC,SDP,2
ANC,SEA,3
ANC,SLC,1
ANC,SNP,2
ANC,STG,2
ANC,UNK,3
ANC,VDZ,2
ANI,ANC,3
ANI,HCR,1
ANI,KLG,1
ANI,MCG,2
ANI,RSH,1
ANI,SHX,1
ANV,HCR,1
AOO,IAD,1
AOO,JST,1
APN,DTW,1
APN,MSP,1
ARC,VEE,1
ART,ORD,2
ART,PHL,2
ASE,DEN,1
ASE,LAX,1
ATK,AIN,1
ATK,BRW,1
ATL,ABE,3
ATL,ABQ,5
ATL,ABY,4
ATL,AEX,3
ATL,AGS,3
ATL,ALB,4
ATL,ATW,3
ATL,AUS,7
ATL,AVL,4
ATL,AVP,3
ATL,AZO,2
ATL,BDL,7
ATL,BHM,6
ATL,BJX,1
ATL,BMI,3
ATL,BNA,7
ATL,BOS,8
ATL,BQK,3
ATL,BTR,3
ATL,BTV,3
ATL,BUF,4
ATL,BWI,7
ATL,CAE,4
ATL,CAK,5
ATL,CHA,5
ATL,CHO,3
ATL,CHS,7
ATL,CID,4
ATL,CLE,5
ATL,CLT,8
ATL,CMH,8
ATL,COS,3
ATL,CRW,4
ATL,CSG,3
ATL,CUN,9
ATL,CVG,7
ATL,CZM,5
ATL,DAB,3
ATL,DAL,4
ATL,DAY,6
ATL,DCA,7
ATL,DEN,11
ATL,DFW,11
ATL,DHN,3
ATL,DSM,3
ATL,DTW,8
ATL,ECP,3
ATL,ELP,4
ATL,EVV,4
ATL,EWN,3
ATL,EWR,7
ATL,EYW,3
ATL,FAR,1
ATL,FAY,3
ATL,FLL,8
ATL,FNT,3
ATL,FSD,1
ATL,FSM,3
ATL,FWA,4
ATL,GDL,6
ATL,GNV,4
ATL,GPT,4
ATL,GRB,3
ATL,GRK,3
ATL,GRR,3
ATL,GSO,6
ATL,GSP,4
ATL,GTR,3
ATL,HNL,1
ATL,HOU,6
ATL,HPN,3
ATL,HSV,5
ATL,IAD,9
ATL,IAH,9
ATL,ICT,4
ATL,ILM,4
ATL,IND,9
ATL,JAN,5
ATL,JAX,9
ATL,JFK,10
ATL,LAN,2
ATL,LAS,7
ATL,LAX,10
ATL,LEX,4
ATL,LFT,3
ATL,LGA,8
ATL,LIT,4
ATL,LWB,1
ATL,MBS,2
ATL,MCI,8
ATL,MCN,1
ATL,MCO,8
ATL,MDT,3
ATL,MDW,5
ATL,MEI,1
ATL,MEM,7
ATL,MEX,7
ATL,MGM,3
ATL,MHT,3
ATL,MIA,12
ATL,MKE,6
ATL,MLB,3
ATL,MLI,3
ATL,MLU,3
ATL,MOB,3
ATL,MSL,1
ATL,MSN,3
ATL,MSP,8
ATL,MSY,9
ATL,MTY,6
ATL,MYR,4
ATL,OAJ,3
ATL,OKC,7
ATL,OMA,4
ATL,ORD,19
ATL,ORF,7
ATL,PBI,8
ATL,PDX,5
ATL,PHF,3
ATL,PHL,9
ATL,PHX,9
ATL,PIA,3
ATL,PIB,1
ATL,PIT,7
ATL,PNS,5
ATL,PVD,3
ATL,PVR,2
ATL,RDU,9
ATL,RIC,7
ATL,ROA,4
ATL,ROC,4
ATL,RSW,8
ATL,SAN,8
ATL,SAT,7
ATL,SAV,6
ATL,SBN,3
ATL,SDF,6
ATL,SEA,6
ATL,SFO,9
ATL,SGF,3
ATL,SHV,3
ATL,SJC,3
ATL,SJD,4
ATL,SLC,6
ATL,SMF,4
ATL,SNA,4
ATL,SRQ,5
ATL,STL,8
ATL,SYR,4
ATL,TLH,3
ATL,TPA,7
ATL,TRI,3
ATL,TTN,1
ATL,TUL,4
ATL,TUP,1
ATL,TUS,5
ATL,TYS,6
ATL,VLD,3
ATL,VPS,4
ATL,XNA,5
ATL,YUL,3
ATL,YYZ,6
ATW,ATL,3
ATW,AZA,1
ATW,DTW,1
ATW,LAS,1
ATW,MSP,1
ATW,ORD,1
ATW,SFB,1
ATY,MSP,1
ATY,PIR,2
AUG,BOS,1
AUK,EMK,1
AUS,ATL,7
AUS,BNA,1
AUS,BOS,1
AUS,BWI,1
AUS,CLE,1
AUS,CLT,2
AUS,CUN,2
AUS,DAL,1
AUS,DCA,1
AUS,DEN,4
AUS,DFW,2
AUS,DTW,1
AUS,ELP,2
AUS,EWR,2
AUS,FLL,2
AUS,HOU,1
AUS,HRL,2
AUS,IAD,1
AUS,IAH,1
AUS,JFK,4
AUS,LAS,2
AUS,LAX,5
AUS,LBB,1
AUS,LGB,1
AUS,MCO,4
AUS,MDW,2
AUS,MEM,1
AUS,MEX,1
AUS,MSP,1
AUS,MSY,2
AUS,OAK,2
AUS,ORD,3
AUS,PHL,2
AUS,PHX,3
AUS,SAN,1
AUS,SEA,1
AUS,SFO,3
AUS,SJC,2
AUS,SLC,1
AUS,TPA,1
AVL,ATL,4
AVL,CLT,2
AVL,DTW,1
AVL,FLL,1
AVL,ORD,1
AVL,PGD,1
AVL,PIE,1
AVL,SFB,1
AVP,ATL,2
AVP,CLT,2
AVP,DTW,1
AVP,ORD,1
AVP,PHL,2
AVP,SFB,1
AZA,ATW,1
AZA,BIL,1
AZA,BIS,1
AZA,BLI,1
AZA,BZN,1
AZA,CID,1
AZA,DLH,1
AZA,EUG,1
AZA,FAR,1
AZA,FSD,1
AZA,FWA,1
AZA,GFK,1
AZA,GRI,1
AZA,GRR,1
AZA,GTF,1
AZA,ICT,1
AZA,IDA,1
AZA,LAS,1
AZA,MLI,1
AZA,MOT,1
AZA,MSO,1
AZA,OAK,1
AZA,OGD,1
AZA,PIA,1
AZA,PSC,1
AZA,PVU,1
AZA,RAP,1
AZA,RFD,1
AZA,RST,1
AZA,SBN,1
AZA,SGF,1
AZA,STC,1
AZO,ATL,2
