Longitude,Latitude,ID,Code,Class,Name
-115.140057,36.1688184,2143510295,2305,bar,Beauty Bar
-115.1398999,36.1690739,2143510296,2305,bar,Vanguard Lounge
-115.2983835,36.1475868,4672127792,2305,bar,Chicago brewing company
-115.2274814,36.149428,4679445508,2602,atm,
-115.1741453,36.1016543,3148335130,2305,bar,Coyote Ugly
-115.1397809,36.168708,2142151396,2305,bar,Commonwealth
-115.1522374,36.1594959,2146603506,2305,bar,Artifice
-115.136,36.0861089,3864331941,2520,jeweller,Pandora
-115.1425433,36.1698325,2146969418,2305,bar,D Bar
-115.140012,36.1691275,2142151612,2305,bar,Insert Coins
-115.1342447,36.086273,3864331944,2001,police,Metro Police
-115.1402114,36.16889,2148184432,2305,bar,The Griffin
-115.1367707,36.0861934,3864331948,2602,atm,
-115.1710399,36.1176666,4924737121,2305,bar,off the strip
-115.1703729,36.1177218,4924737221,2305,bar,Virgil's real barbecue
-115.1703424,36.1221426,4668742174,2305,bar,Fat Tuesday
-115.1702983,36.1227374,4668742176,2305,bar,Rockhouse Bar
-115.0622203,36.1562427,2765959632,2602,atm,
-115.2973045,36.0836356,4933961621,2305,bar,the lodge at Fort Apache
-115.1669798,36.1255566,1688876730,2520,jeweller,Wynn & Company Juwelery
-115.1394381,36.1685478,2161291761,2305,bar,Backstage Bar & Billiards
-115.1412274,36.1721967,2161291762,2305,bar,Mob Bar
-115.1479053,36.082194,3163897214,2305,bar,Lucky steak
-115.1509206,36.0829739,3271210564,2305,bar,Red Star Lounge
-115.2045305,36.0714237,304716488,2001,police,Nevada Highway Patrol
-115.0795491,36.1010441,3802985013,2305,bar,PT's Pub
-115.173788,36.08446,305100599,2001,police,Las Vegas Metropolitan Police Southern Command
-115.2046301,36.0855301,305100846,2001,police,Metro Dispatch Center
-115.2706233,36.298154,534807466,2305,bar,Lucky's Lounge - North Location
-115.1781266,36.1187967,4668786298,2305,bar,Fat Tuesday
-115.1386951,36.1674959,4728579496,2305,bar,Bin 702
-115.1754524,36.1181142,4668786300,2305,bar,Fizz
-115.1383316,36.1674017,4728579497,2305,bar,Oak and Ivy Whiskey Bar
-115.2429614,36.0367112,1699971448,2305,bar,The Lodge
-115.0674562,36.1439805,3822199957,2602,atm,Bank of America ATM
-115.0774485,36.1439781,2799625768,2305,bar,Shooters Bar & Grill
-115.1849964,36.1013969,4307005422,2602,atm,
-115.1735939,36.1152719,4948025921,2305,bar,Spanish Steps
-115.0836918,36.1292764,2988426550,2305,bar,La Tanga Bar
-115.089797,36.1157369,3681713668,2305,bar,Dotty's
-115.090589,36.1300103,2988493689,2305,bar,Old Vegas Tavern
-115.0649807,36.1279989,3329751013,2305,bar,Hammerheads Bar & Grill
-115.2435729,36.0582546,1699992058,2305,bar,Hooters
-115.1746434,36.1167447,4668786311,2305,bar,Cleopatra's Barge
-115.2067985,35.9951965,1262424623,2305,bar,Zest Bistro & Bar
-115.1672584,36.1269826,1268840883,2305,bar,Tryst Nightclub
-115.1462704,36.0824912,366087914,2001,police,Airport Center Las Vegas Metropolitan Police Station
-115.1753773,36.1023343,3699086225,2305,bar,Boat House Bar
-115.0658888,36.1335067,3329751031,2305,bar,Dylans Double Duce
-115.075099,36.1593019,2799685950,2602,atm,Wells Fargo ATM
-115.1767248,36.0687845,2169565197,2520,jeweller,Swarovski
-115.1242,36.195,366087916,2001,police,North Las Vegas Police Department
-115.2431707,36.0708779,1700027313,2305,bar,3 Tomatoes & A Mozzarella
-115.0714912,36.158724,2799710332,2305,bar,Whiskey Creek Saloon
-115.0597207,36.1079467,2022540550,2602,atm,Bank of America
-115.2788655,36.0713982,1700031390,2305,bar,Jalisco Cantina
-115.2785007,36.0423332,1700044792,2305,bar,Bomas
-115.1667869,36.1263734,2184018258,2305,bar,Parasol Down
-115.1751484,36.1016781,4668886724,2305,bar,The Lobby Bar
-115.1745771,36.1019966,4668886725,2305,bar,Center Bar
-115.1512319,36.1093015,4950077425,2305,bar,Azuzar Hookah
-115.1742635,36.0980074,4516288691,2001,police,Rideshare pickup
-115.2352205,36.0565903,3347283697,2305,bar,T-Bird Lounge
-115.1428468,36.087957,4516599392,2001,police,Rideshare staging for LAS
-115.1482498,36.0868632,4516644989,2001,police,Rideshare pickup for T1 (level 2M)
-115.151038,36.108744,4950091621,2305,bar,Origin India
-115.1385291,36.0876458,4516957094,2001,police,Rideshare pickup for T3 (valet level)
-115.0681775,36.1147195,3348458985,2602,atm,
-115.1704293,36.1143848,4520324794,2001,police,Rideshare Pickup (Flamingo side of property)
-115.1774931,36.1077949,4520332090,2001,police,Rideshare Pickup and Dropoff (north entrance off Harmon)
-115.1690507,36.1025651,4668886737,2305,bar,Fat Tuesday
-115.0616177,36.1784946,3835157627,2305,bar,Kracker Boxx Bar
-115.1752336,36.1212298,2057950291,2602,atm,
-115.1736926,36.1218972,2057950380,2602,atm,
-115.0618633,36.1817804,3835157988,2305,bar,Buck's Tavern
-115.1718979,36.1175673,4015588733,2305,bar,Tag Sports Bar
-115.2213,36.1251,366088170,2001,police,Las Vegas Metropolitan Police Department Southwest Substation
-115.2424022,36.2166466,4966302222,2305,bar,PT's pub
-115.0469334,36.1441793,2600838074,2305,bar,Lucky's Gaming and Spirit
-115.1712225,36.1246365,1912382884,2602,atm,
-115.171909,36.1250191,1912383089,2602,atm,
-115.2799182,36.078606,1398028258,2602,atm,
-115.1728749,36.1250393,1912383108,2602,atm,
-115.0821867,36.1297936,2834881534,2305,bar,Dotty's Gaming & Spirits
-115.0640691,36.1594012,2735776322,2305,bar,Loose Caboose Saloon
-115.1752925,36.0958199,4669431063,2305,bar,Aurora
-115.1702954,36.1253065,1912383190,2602,atm,
-114.9679832,36.0529814,595696432,2305,bar,Lake Mead Casino
-115.1754962,36.0959509,4669431064,2305,bar,High Bar
-115.176291,36.0952975,4669431065,2305,bar,Playbar
-115.1753182,36.0953966,4669431066,2305,bar,Flight
-115.1946346,36.1142911,4980808349,2305,bar,GhostBar
-115.175916,36.0905123,1416843221,2305,bar,Bikini Bar
-115.0878862,36.0213768,4742179537,2305,bar,Pinot's Palette
-115.1736548,36.1023866,4020584210,2520,jeweller,Swatch
-115.1026721,36.1299816,4424572660,2305,bar,The Eliphino Dive and Dine
-115.0534863,36.1023401,3474537660,2305,bar,Jackpot Joanie's
-115.0635395,36.1459841,2735780580,2520,jeweller,Jewelry
-115.1755772,36.1137331,4668671256,2305,bar,Lily Bar and Lounge
-115.224588,36.1220782,2741075757,2602,atm,
-115.1692696,36.113854,4668679493,2305,bar,Indigo Lounge
-115.0821907,36.0169572,2120564490,2001,police,Henderson West Community Police Station
