Category,Number of Records,Quantity,Sales,Segment,Ship Mode
Furniture,1,1,$2,Consumer,First Class
Furniture,1,1,$11,Consumer,First Class
Furniture,1,1,$18,Consumer,First Class
Furniture,1,1,$35,Consumer,First Class
Furniture,1,1,$49,Consumer,First Class
Furniture,1,1,$52,Consumer,First Class
Furniture,1,1,$64,Consumer,First Class
Furniture,1,1,$71,Consumer,First Class
Furniture,1,1,$73,Consumer,First Class
Furniture,1,1,$102,Consumer,First Class
Furniture,1,1,$118,Consumer,First Class
Furniture,1,1,$121,Consumer,First Class
Furniture,1,1,$171,Consumer,First Class
Furniture,1,1,$210,Consumer,First Class
Furniture,1,2,$6,Consumer,First Class
Furniture,1,2,$8,Consumer,First Class
Furniture,1,2,$9,Consumer,First Class
Furniture,1,2,$9,Consumer,First Class
Furniture,1,2,$9,Consumer,First Class
Furniture,1,2,$10,Consumer,First Class
Furniture,1,2,$10,Consumer,First Class
Furniture,1,2,$18,Consumer,First Class
Furniture,1,2,$25,Consumer,First Class
Furniture,1,2,$28,Consumer,First Class
Furniture,1,2,$32,Consumer,First Class
Furniture,1,2,$42,Consumer,First Class
Furniture,1,2,$52,Consumer,First Class
Furniture,1,2,$52,Consumer,First Class
Furniture,1,2,$98,Consumer,First Class
Furniture,1,2,$99,Consumer,First Class
Furniture,1,2,$113,Consumer,First Class
Furniture,1,2,$129,Consumer,First Class
Furniture,1,2,$140,Consumer,First Class
Furniture,1,2,$142,Consumer,First Class
Furniture,1,2,$148,Consumer,First Class
Furniture,1,2,$156,Consumer,First Class
Furniture,1,2,$162,Consumer,First Class
Furniture,1,2,$183,Consumer,First Class
Furniture,1,2,$183,Consumer,First Class
Furniture,1,2,$184,Consumer,First Class
Furniture,1,2,$200,Consumer,First Class
Furniture,1,2,$218,Consumer,First Class
Furniture,1,2,$219,Consumer,First Class
Furniture,1,2,$240,Consumer,First Class
Furniture,1,2,$242,Consumer,First Class
Furniture,1,2,$258,Consumer,First Class
Furniture,1,2,$274,Consumer,First Class
Furniture,1,2,$291,Consumer,First Class
Furniture,1,2,$311,Consumer,First Class
Furniture,1,2,$336,Consumer,First Class
Furniture,1,2,$342,Consumer,First Class
Furniture,1,2,$381,Consumer,First Class
Furniture,1,2,$400,Consumer,First Class
Furniture,1,2,$408,Consumer,First Class
Furniture,1,2,$412,Consumer,First Class
Furniture,1,2,$434,Consumer,First Class
Furniture,1,2,$520,Consumer,First Class
Furniture,1,2,$632,Consumer,First Class
Furniture,1,2,$702,Consumer,First Class
Furniture,1,2,$802,Consumer,First Class
Furniture,1,3,$5,Consumer,First Class
Furniture,1,3,$5,Consumer,First Class
Furniture,1,3,$8,Consumer,First Class
Furniture,1,3,$10,Consumer,First Class
Furniture,1,3,$10,Consumer,First Class
Furniture,1,3,$12,Consumer,First Class
Furniture,1,3,$19,Consumer,First Class
Furniture,1,3,$21,Consumer,First Class
Furniture,1,3,$23,Consumer,First Class
Furniture,1,3,$23,Consumer,First Class
Furniture,1,3,$24,Consumer,First Class
Furniture,1,3,$43,Consumer,First Class
Furniture,1,3,$46,Consumer,First Class
Furniture,1,3,$47,Consumer,First Class
Furniture,1,3,$47,Consumer,First Class
Furniture,1,3,$60,Consumer,First Class
Furniture,1,3,$87,Consumer,First Class
Furniture,1,3,$90,Consumer,First Class
Furniture,1,3,$114,Consumer,First Class
Furniture,1,3,$126,Consumer,First Class
Furniture,1,3,$128,Consumer,First Class
Furniture,1,3,$163,Consumer,First Class
Furniture,1,3,$191,Consumer,First Class
Furniture,1,3,$192,Consumer,First Class
Furniture,1,3,$194,Consumer,First Class
Furniture,1,3,$213,Consumer,First Class
Furniture,1,3,$242,Consumer,First Class
Furniture,1,3,$266,Consumer,First Class
Furniture,1,3,$299,Consumer,First Class
Furniture,1,3,$307,Consumer,First Class
Furniture,1,3,$314,Consumer,First Class
Furniture,1,3,$360,Consumer,First Class
Furniture,1,3,$371,Consumer,First Class
Furniture,1,3,$393,Consumer,First Class
Furniture,1,3,$410,Consumer,First Class
Furniture,1,3,$410,Consumer,First Class
Furniture,1,3,$543,Consumer,First Class
Furniture,1,3,$550,Consumer,First Class
Furniture,1,3,$569,Consumer,First Class
Furniture,1,4,$14,Consumer,First Class
Furniture,1,4,$35,Consumer,First Class
Furniture,1,4,$40,Consumer,First Class
Furniture,1,4,$55,Consumer,First Class
Furniture,1,4,$73,Consumer,First Class
Furniture,1,4,$81,Consumer,First Class
Furniture,1,4,$109,Consumer,First Class
Furniture,1,4,$130,Consumer,First Class
Furniture,1,4,$152,Consumer,First Class
Furniture,1,4,$173,Consumer,First Class
Furniture,1,4,$195,Consumer,First Class
Furniture,1,4,$292,Consumer,First Class
Furniture,1,4,$483,Consumer,First Class
Furniture,1,4,$787,Consumer,First Class
Furniture,1,4,"$1,505",Consumer,First Class
Furniture,1,5,$25,Consumer,First Class
Furniture,1,5,$30,Consumer,First Class
Furniture,1,5,$42,Consumer,First Class
Furniture,1,5,$67,Consumer,First Class
Furniture,1,5,$79,Consumer,First Class
Furniture,1,5,$88,Consumer,First Class
Furniture,1,5,$89,Consumer,First Class
Furniture,1,5,$177,Consumer,First Class
Furniture,1,5,$181,Consumer,First Class
Furniture,1,5,$241,Consumer,First Class
Furniture,1,5,$255,Consumer,First Class
Furniture,1,5,$319,Consumer,First Class
Furniture,1,5,$355,Consumer,First Class
Furniture,1,5,$355,Consumer,First Class
Furniture,1,5,$493,Consumer,First Class
Furniture,1,5,$517,Consumer,First Class
Furniture,1,5,$589,Consumer,First Class
Furniture,1,5,$604,Consumer,First Class
Furniture,1,5,$757,Consumer,First Class
Furniture,1,5,$763,Consumer,First Class
Furniture,1,5,$884,Consumer,First Class
Furniture,1,5,$899,Consumer,First Class
Furniture,1,5,"$1,279",Consumer,First Class
Furniture,1,5,"$1,299",Consumer,First Class
Furniture,1,5,"$2,804",Consumer,First Class
Furniture,1,6,$11,Consumer,First Class
Furniture,1,6,$25,Consumer,First Class
Furniture,1,6,$112,Consumer,First Class
Furniture,1,6,$424,Consumer,First Class
Furniture,1,6,"$1,079",Consumer,First Class
Furniture,1,7,$35,Consumer,First Class
Furniture,1,7,$37,Consumer,First Class
Furniture,1,7,$38,Consumer,First Class
Furniture,1,7,$62,Consumer,First Class
Furniture,1,7,$263,Consumer,First Class
Furniture,1,7,$290,Consumer,First Class
Furniture,1,7,"$1,057",Consumer,First Class
Furniture,1,7,"$1,197",Consumer,First Class
Furniture,1,7,"$1,213",Consumer,First Class
Furniture,1,7,"$1,587",Consumer,First Class
Furniture,1,8,$128,Consumer,First Class
Furniture,1,8,$341,Consumer,First Class
Furniture,1,8,$614,Consumer,First Class
Furniture,1,8,"$2,808",Consumer,First Class
Furniture,1,9,$24,Consumer,First Class
Furniture,1,9,$75,Consumer,First Class
Furniture,1,9,$383,Consumer,First Class
Furniture,1,9,$523,Consumer,First Class
Furniture,1,9,$909,Consumer,First Class
Furniture,1,9,"$1,629",Consumer,First Class
Furniture,1,1,$71,Consumer,Same Day
Furniture,1,1,$78,Consumer,Same Day
Furniture,1,1,$79,Consumer,Same Day
Furniture,1,1,$103,Consumer,Same Day
Furniture,1,1,$137,Consumer,Same Day
Furniture,1,1,$145,Consumer,Same Day
Furniture,1,1,$146,Consumer,Same Day
Furniture,1,1,$182,Consumer,Same Day
Furniture,1,1,$239,Consumer,Same Day
Furniture,1,1,$426,Consumer,Same Day
Furniture,1,2,$16,Consumer,Same Day
Furniture,1,2,$17,Consumer,Same Day
Furniture,1,2,$18,Consumer,Same Day
Furniture,1,2,$20,Consumer,Same Day
Furniture,1,2,$27,Consumer,Same Day
Furniture,1,2,$64,Consumer,Same Day
Furniture,1,2,$71,Consumer,Same Day
Furniture,1,2,$142,Consumer,Same Day
Furniture,1,2,$178,Consumer,Same Day
Furniture,1,2,$205,Consumer,Same Day
Furniture,1,2,$249,Consumer,Same Day
Furniture,1,2,$251,Consumer,Same Day
Furniture,1,2,$364,Consumer,Same Day
Furniture,1,2,$520,Consumer,Same Day
Furniture,1,3,$14,Consumer,Same Day
Furniture,1,3,$19,Consumer,Same Day
Furniture,1,3,$24,Consumer,Same Day
Furniture,1,3,$27,Consumer,Same Day
Furniture,1,3,$32,Consumer,Same Day
Furniture,1,3,$48,Consumer,Same Day
Furniture,1,3,$56,Consumer,Same Day
Furniture,1,3,$102,Consumer,Same Day
Furniture,1,3,$165,Consumer,Same Day
Furniture,1,3,$212,Consumer,Same Day
Furniture,1,3,$303,Consumer,Same Day
Furniture,1,3,$673,Consumer,Same Day
Furniture,1,4,$7,Consumer,Same Day
Furniture,1,4,$32,Consumer,Same Day
Furniture,1,4,$44,Consumer,Same Day
Furniture,1,4,$61,Consumer,Same Day
Furniture,1,4,$323,Consumer,Same Day
Furniture,1,4,$934,Consumer,Same Day
Furniture,1,5,$8,Consumer,Same Day
Furniture,1,5,$25,Consumer,Same Day
Furniture,1,5,$135,Consumer,Same Day
Furniture,1,5,$150,Consumer,Same Day
Furniture,1,5,$364,Consumer,Same Day
Furniture,1,5,$388,Consumer,Same Day
Furniture,1,5,$972,Consumer,Same Day
Furniture,1,5,"$1,045",Consumer,Same Day
Furniture,1,5,"$1,425",Consumer,Same Day
Furniture,1,5,"$2,453",Consumer,Same Day
Furniture,1,6,$51,Consumer,Same Day
Furniture,1,6,$130,Consumer,Same Day
Furniture,1,6,$131,Consumer,Same Day
